row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R2_drag,R2_cv,R2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R2_Drag,Hit_R2_CV,Hit_R2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,l1000_b_a_,-65.74,43,20.08,26.8,0.623256,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE,insufficient_data
1,1,l1000_b_a_,-65.76,43,15.03,27.74,0.645116,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
1,1,l1000_b_a_,-65.78,43,15.02,28.44,0.661395,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
1,1,l1000_b_a_,-65.8,43,15.02,29.18,0.678605,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
1,1,l1000_b_a_,-65.82,43,15.02,29.84,0.693953,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
1,1,l1000_b_a_,-65.84,43,15.02,30.56,0.710698,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
1,1,l1000_b_a_,-65.86,43,15.03,31.24,0.726512,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
1,1,l1000_b_a_,-65.88,43,15.02,32.03,0.744884,0,0.999088,-0.825581,6.395349,6.395349,2.184985,0,0.999088,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,
1,1,l1000_b_a_,-65.9,43,15.02,32.82,0.763256,0.579817,0.998988,-0.863953,0,0,2.349674,-95.930233,0.998988,0.579817,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,0.2,FALSE,hit_r2_cv (R?=0.5798)
1,1,l1000_b_a_,-65.92,43,15.03,33.64,0.782326,0.019565,0.998913,-0.9,1.744186,1.744186,-0.389798,-90.116279,0.998913,0.019565,0.895681,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R?=0.0196); hit_r2_slope (R?=0.8957)
