row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Cell_Termination_Method,CV,R_2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R_2_drag,R_2_cv,R_2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R_2_Drag,Hit_R_2_CV,Hit_R_2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,1,5%300K_0.577,-65.74,90,15.02,28.53,0.317,normal,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
1,1,5%300K_0.577,-65.76,90,15.03,29.1,0.323333,normal,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
1,1,5%300K_0.577,-65.78,90,15.03,29.41,0.326778,normal,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
1,1,5%300K_0.577,-65.8,90,15.02,29.8,0.331111,normal,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
1,1,5%300K_0.577,-65.82,90,15.03,30.12,0.334667,normal,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
1,1,5%300K_0.577,-65.84,90,15.03,30.27,0.336333,normal,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
1,1,5%300K_0.577,-65.86,90,15.02,30.48,0.338667,normal,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,FALSE,insufficient_data
1,1,5%300K_0.577,-65.88,90,15.02,30.53,0.339222,normal,0,0.94478,-0.101111,-4.444444,-4.444444,-4.045393,0,0.94478,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,0.2,FALSE,hit_r2_drag (R^2=0.9448)
1,1,5%300K_0.577,-65.9,90,15.03,30.64,0.340444,normal,0.991543,0.960882,-0.072222,1.666667,1.666667,2.900622,72.222222,0.960882,0.991543,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,0.2,FALSE,hit_r2_drag (R^2=0.9609)
1,1,5%300K_0.577,-65.92,90,15.03,30.78,0.342,normal,0.958217,0.965603,-0.065556,0.833333,0.833333,4.954045,16.666667,0.965603,0.958217,0.839552,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,0.6,FALSE,hit_r2_drag (R^2=0.9656); hit_r2_cv (R^2=0.9582); hit_r2_slope (R^2=0.8396)
1,1,5%300K_0.577,-65.94,90,15.01,30.91,0.343444,normal,0.850066,0.975689,-0.061667,-0.277778,-0.277778,0.571219,9.722222,0.975689,0.850066,0.895415,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.8501); hit_r2_slope (R^2=0.8954)
