# mu,37.0
# alpha_deg,3.0
# R,0.012
# rpm,4.2
h_m,T_Nm,T_per_rpm_Nm_per_rpm
1.0000000000e-05,1.0977847542e-03,2.6137732243e-04
1.1110798060e-05,1.0949882420e-03,2.6071148619e-04
1.2344983353e-05,1.0919015209e-03,2.5997655259e-04
1.3716261709e-05,1.0884967454e-03,2.5916589177e-04
1.5239861398e-05,1.0847438827e-03,2.5827235303e-04
1.6932702245e-05,1.0806106438e-03,2.5728824852e-04
1.8813583526e-05,1.0760624382e-03,2.5620534242e-04
2.0903392734e-05,1.0710623572e-03,2.5501484695e-04
2.3225337543e-05,1.0655711942e-03,2.5370742718e-04
2.5805203531e-05,1.0595475095e-03,2.5227321654e-04
2.8671640533e-05,1.0529477505e-03,2.5070184536e-04
3.1856480801e-05,1.0457264360e-03,2.4898248476e-04
3.5395092508e-05,1.0378364158e-03,2.4710390853e-04
3.9326772517e-05,1.0292292175e-03,2.4505457559e-04
4.3695182778e-05,1.0198554897e-03,2.4282273564e-04
4.8548835204e-05,1.0096655534e-03,2.4039656034e-04
5.3941630399e-05,9.9861006954e-04,2.3776430227e-04
5.9933456238e-05,9.8664082887e-04,2.3491448306e-04
6.6590852930e-05,9.7371166855e-04,2.3183611156e-04
7.3987751954e-05,9.5977951312e-04,2.2851893170e-04
8.2206297086e-05,9.4480553360e-04,2.2495369848e-04
9.1337756618e-05,9.2875641107e-04,2.2113247883e-04
1.0148353690e-04,9.1160568295e-04,2.1704897213e-04
1.1275630849e-04,8.9333514176e-04,2.1269884328e-04
1.2528125736e-04,8.7393624641e-04,2.0808005867e-04
1.3919747513e-04,8.5341149715e-04,2.0319321361e-04
1.5465950366e-04,8.3177571652e-04,1.9804183727e-04
1.7183905132e-04,8.0905717191e-04,1.9263265998e-04
1.9092689980e-04,7.8529847127e-04,1.8697582649e-04
2.1213502279e-04,7.6055716266e-04,1.8108503873e-04
2.3569893996e-04,7.3490597265e-04,1.7497761253e-04
2.6188033249e-04,7.0843262731e-04,1.6867443507e-04
2.9096994901e-04,6.8123921453e-04,1.6219981298e-04
3.2329083450e-04,6.5344106570e-04,1.5558120612e-04
3.5920191767e-04,6.2516515926e-04,1.4884884744e-04
3.9910199699e-04,5.9654807519e-04,1.4203525600e-04
4.4343416939e-04,5.6773355742e-04,1.3517465653e-04
4.9269075090e-04,5.3886976718e-04,1.2830232552e-04
5.4741874392e-04,5.1010633235e-04,1.2145388865e-04
6.0822591179e-04,4.8159131337e-04,1.1466459842e-04
6.7578752807e-04,4.5346821407e-04,1.0796862240e-04
7.5085387557e-04,4.2587316370e-04,1.0139837231e-04
8.3425857840e-04,3.9893238604e-04,9.4983901439e-05
9.2692785943e-04,3.7276005252e-04,8.8752393458e-05
1.0298908262e-03,3.4745659110e-04,8.2727759785e-05
1.1442908994e-03,3.2310749411e-04,7.6930355741e-05
1.2713985105e-03,2.9978263812e-04,7.1376818601e-05
1.4126252104e-03,2.7753610077e-04,6.6080023994e-05
1.5695393447e-03,2.5640643505e-04,6.1049151203e-05
1.7438834706e-03,2.3641734243e-04,5.6289843436e-05
1.9375937082e-03,2.1757867335e-04,5.1804446035e-05
2.1528212413e-03,1.9988767715e-04,4.7592304083e-05
2.3919562072e-03,1.8333042279e-04,4.3650100663e-05
2.6576542386e-03,1.6788331579e-04,3.9972218044e-05
2.9528659558e-03,1.5351464492e-04,3.6551105934e-05
3.2808697333e-03,1.4018610206e-04,3.3377643349e-05
3.6453081067e-03,1.2785423022e-04,3.0441483385e-05
4.0502282240e-03,1.1647176616e-04,2.7731372896e-05
4.5001267893e-03,1.0598885501e-04,2.5235441670e-05
5.0000000000e-03,9.6354123652e-05,2.2941458012e-05
