# Dynamic Analysis - Mode: CALIBRATION (PARTIAL RESULTS)
# Experiment Name: calibration_20260702_142538
# Test RPMs (global fallback): [1.0]
# Timestamp: 20260702_142538
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
"# Completed cells: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# WARNING: Experiment was terminated early - these are partial results
# Viscosity prediction mode: off

"# Cell termination methods: {1: 'hit_detected', 2: 'hit_detected', 3: 'hit_detected', 4: 'hit_detected', 5: 'hit_detected', 6: 'hit_detected', 7: 'hit_detected', 8: 'hit_detected', 9: 'hit_detected', 10: 'hit_detected', 11: 'hit_detected', 12: 'hit_detected', 13: 'hit_detected', 14: 'hit_detected', 15: 'hit_detected', 16: 'hit_detected', 17: 'user_stop'}"
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
1,1,,-65.500,1.0,3.01,0.000,0.000000,False
1,1,,-65.520,1.0,3.01,0.070,0.070000,False
1,1,,-65.540,1.0,3.01,0.020,0.020000,False
1,1,,-65.600,1.0,3.01,0.000,0.000000,False
1,1,,-65.620,1.0,3.01,0.050,0.050000,False
1,1,,-65.640,1.0,3.01,0.080,0.080000,False
1,1,,-65.660,1.0,3.01,0.100,0.100000,False
1,1,,-65.680,1.0,3.01,0.050,0.050000,False
1,1,,-65.700,1.0,3.01,0.000,0.000000,False
1,1,,-65.760,1.0,3.01,0.020,0.020000,False
1,1,,-65.780,1.0,3.01,0.070,0.070000,False
1,1,,-65.800,1.0,3.01,0.070,0.070000,False
1,1,,-65.820,1.0,3.01,0.110,0.110000,False
1,1,,-65.840,1.0,3.01,0.080,0.080000,False
1,1,,-65.860,1.0,3.01,0.000,0.000000,False
1,1,,-65.920,1.0,3.01,0.030,0.030000,False
1,1,,-65.940,1.0,3.01,0.080,0.080000,False
1,1,,-65.960,1.0,3.01,0.100,0.100000,False
1,1,,-65.980,1.0,3.01,0.090,0.090000,False
1,1,,-66.000,1.0,3.01,0.040,0.040000,False
1,1,,-66.080,1.0,3.01,0.030,0.030000,False
1,1,,-66.100,1.0,3.01,0.130,0.130000,False
1,1,,-66.120,1.0,3.01,0.110,0.110000,False
1,1,,-66.140,1.0,3.01,0.070,0.070000,False
1,1,,-66.160,1.0,3.03,0.000,0.000000,False
1,1,,-66.220,1.0,3.01,0.010,0.010000,False
1,1,,-66.240,1.0,3.01,0.080,0.080000,False
1,1,,-66.260,1.0,3.01,0.060,0.060000,False
1,1,,-66.280,1.0,3.01,0.100,0.100000,False
1,1,,-66.300,1.0,3.01,0.050,0.050000,False
1,1,,-66.320,1.0,3.00,0.000,0.000000,False
1,1,,-66.380,1.0,3.01,0.010,0.010000,False
1,1,,-66.400,1.0,3.01,0.750,0.750000,True
1,1,,-66.420,1.0,3.01,4.000,4.000000,True
1,1,,-66.440,1.0,3.01,2.030,2.030000,True
1,2,,-65.500,1.0,3.01,0.000,0.000000,False
1,2,,-65.580,1.0,3.01,0.000,0.000000,False
1,2,,-65.600,1.0,3.01,0.070,0.070000,False
1,2,,-65.620,1.0,3.01,0.080,0.080000,False
1,2,,-65.640,1.0,3.01,0.060,0.060000,False
1,2,,-65.660,1.0,3.01,0.000,0.000000,False
1,2,,-65.720,1.0,3.01,0.000,0.000000,False
1,2,,-65.740,1.0,3.01,0.030,0.030000,False
1,2,,-65.760,1.0,3.01,0.080,0.080000,False
1,2,,-65.780,1.0,3.01,0.090,0.090000,False
1,2,,-65.800,1.0,3.01,0.040,0.040000,False
1,2,,-65.820,1.0,3.01,0.000,0.000000,False
1,2,,-65.880,1.0,3.01,0.000,0.000000,False
1,2,,-65.900,1.0,3.01,0.040,0.040000,False
1,2,,-65.920,1.0,3.01,0.090,0.090000,False
1,2,,-65.940,1.0,3.01,0.060,0.060000,False
1,2,,-65.960,1.0,3.01,0.030,0.030000,False
1,2,,-66.040,1.0,3.01,0.030,0.030000,False
1,2,,-66.060,1.0,3.01,0.070,0.070000,False
1,2,,-66.080,1.0,3.01,0.090,0.090000,False
1,2,,-66.100,1.0,3.01,0.070,0.070000,False
1,2,,-66.120,1.0,3.01,0.020,0.020000,False
1,2,,-66.140,1.0,3.01,0.840,0.840000,True
1,2,,-66.160,1.0,3.01,7.260,7.260000,True
