# Dynamic Analysis - Mode: RECALIBRATION
# Experiment Name: recalibration_20260703_084357
# Test RPMs (global fallback): [1.0]
# Timestamp: 20260703_084357
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# Viscosity prediction mode: off

# Cell termination methods: {18: 'hit_detected'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
3,18,,-63.500,1.0,3.01,0.000,0.000000,False
3,18,,-63.520,1.0,3.01,0.040,0.040000,False
3,18,,-63.540,1.0,3.01,0.010,0.010000,False
3,18,,-63.560,1.0,3.01,0.040,0.040000,False
3,18,,-63.580,1.0,3.01,0.020,0.020000,False
3,18,,-63.600,1.0,3.01,0.030,0.030000,False
3,18,,-63.620,1.0,3.01,0.030,0.030000,False
3,18,,-63.640,1.0,3.00,0.020,0.020000,False
3,18,,-63.660,1.0,3.01,0.000,0.000000,False
3,18,,-63.680,1.0,3.01,0.020,0.020000,False
3,18,,-63.720,1.0,3.00,0.000,0.000000,False
3,18,,-63.740,1.0,3.01,0.020,0.020000,False
3,18,,-63.760,1.0,3.01,0.040,0.040000,False
3,18,,-63.780,1.0,3.01,0.050,0.050000,False
3,18,,-63.800,1.0,3.01,0.050,0.050000,False
3,18,,-63.820,1.0,3.01,0.020,0.020000,False
3,18,,-63.840,1.0,3.01,0.020,0.020000,False
3,18,,-63.860,1.0,3.01,0.000,0.000000,False
3,18,,-63.880,1.0,3.01,0.010,0.010000,False
3,18,,-63.900,1.0,3.01,0.030,0.030000,False
3,18,,-63.920,1.0,3.01,0.030,0.030000,False
3,18,,-63.940,1.0,3.01,0.090,0.090000,True
3,18,,-63.960,1.0,3.01,0.020,0.020000,True
3,18,,-63.980,1.0,3.01,0.020,0.020000,False
3,18,,-64.020,1.0,3.01,0.000,0.000000,False
3,18,,-64.040,1.0,3.01,0.000,0.000000,False
3,18,,-64.060,1.0,3.01,0.040,0.040000,True
3,18,,-64.080,1.0,3.01,0.040,0.040000,False
3,18,,-64.100,1.0,3.01,0.050,0.050000,False
3,18,,-64.120,1.0,3.01,0.000,0.000000,False
3,18,,-64.140,1.0,3.01,0.000,0.000000,False
3,18,,-64.160,1.0,3.01,0.000,0.000000,False
3,18,,-64.180,1.0,3.01,0.000,0.000000,False
3,18,,-64.200,1.0,3.01,0.010,0.010000,False
3,18,,-64.220,1.0,3.01,0.030,0.030000,False
3,18,,-64.240,1.0,3.01,0.030,0.030000,False
3,18,,-64.260,1.0,3.01,0.010,0.010000,False
3,18,,-64.280,1.0,3.01,0.000,0.000000,False
3,18,,-64.300,1.0,3.01,0.000,0.000000,False
3,18,,-64.340,1.0,3.01,0.010,0.010000,False
3,18,,-64.360,1.0,3.00,0.040,0.040000,False
3,18,,-64.380,1.0,3.01,0.010,0.010000,False
3,18,,-64.400,1.0,3.01,0.020,0.020000,False
3,18,,-64.420,1.0,3.01,0.010,0.010000,False
3,18,,-64.440,1.0,3.01,0.010,0.010000,False
3,18,,-64.460,1.0,3.01,0.000,0.000000,False
3,18,,-64.520,1.0,3.01,0.000,0.000000,False
3,18,,-64.540,1.0,3.01,0.020,0.020000,False
3,18,,-64.560,1.0,3.01,0.040,0.040000,False
3,18,,-64.580,1.0,3.01,0.000,0.000000,False
3,18,,-64.600,1.0,3.01,0.000,0.000000,False
3,18,,-64.660,1.0,3.01,0.100,0.100000,False
3,18,,-64.680,1.0,3.00,2.150,2.150000,True
3,18,,-64.700,1.0,3.01,6.380,6.380000,True
3,18,,-64.720,1.0,3.01,11.750,11.750000,True
