# Dynamic Analysis - Mode: CUSTOM (PARTIAL RESULTS)
# Experiment Name: full
# Test RPMs (global fallback): [45.0]
# Timestamp: 20260707_102234
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
"# Completed cells: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
"# Low-torque liquid-contact hunt: per RPM at each Z, skip RPM when first sample at elapsed >= 5.0s is < 25.00% (regular runs only); skipped RPM rows use <25% and SKIPPED metrics"
# WARNING: Experiment was terminated early - these are partial results
# Characterization mode: on

"# Cell termination methods: {1: 'hit_detected', 2: 'hit_detected', 3: 'hit_detected', 4: 'hit_detected', 5: 'manual_terminate', 6: 'hit_detected', 7: 'hit_detected', 8: 'hit_detected', 9: 'hit_detected', 10: 'hit_detected', 11: 'hit_detected', 12: 'hit_detected', 13: 'hit_detected', 14: 'hit_detected', 15: 'fail_safe', 16: 'fail_safe', 17: 'hit_detected', 18: 'fail_safe'}"
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
1,1,,-65.980,45.0,25.09,35.710,0.793556,False
1,1,,-66.000,45.0,15.06,37.380,0.830667,False
1,1,,-66.020,45.0,15.06,38.810,0.862444,False
1,1,,-66.040,45.0,15.05,40.480,0.899556,False
1,1,,-66.060,45.0,15.05,41.860,0.930222,False
1,1,,-66.080,45.0,15.05,43.510,0.966889,False
1,1,,-66.100,45.0,15.05,44.970,0.999333,False
1,1,,-66.120,45.0,15.05,46.720,1.038222,False
1,1,,-66.140,45.0,15.05,48.580,1.079556,False
1,1,,-66.160,45.0,15.05,50.920,1.131556,False
1,1,,-66.180,45.0,15.04,53.090,1.179778,False
1,1,,-66.200,45.0,15.06,55.830,1.240667,False
1,1,,-66.220,45.0,15.05,58.240,1.294222,False
1,1,,-66.240,45.0,15.05,61.420,1.364889,False
1,1,,-66.260,45.0,15.05,64.760,1.439111,False
1,1,,-66.280,45.0,35.03,73.180,1.626222,True
1,1,,-66.300,45.0,35.00,69.460,1.543556,True
1,1,,-66.320,45.0,35.01,75.910,1.686889,True
1,2,,-65.720,45.0,35.09,32.570,0.723778,False
1,2,,-65.740,45.0,15.08,33.890,0.753111,False
1,2,,-65.760,45.0,15.05,35.280,0.784000,False
1,2,,-65.780,45.0,15.05,36.470,0.810444,False
1,2,,-65.800,45.0,15.05,37.820,0.840444,False
1,2,,-65.820,45.0,15.05,38.900,0.864444,False
