# Dynamic Analysis - Mode: CUSTOM (PARTIAL RESULTS)
# Experiment Name: PEGtrial
# Test RPMs (global fallback): [0.8]
"# Per-cell RPM overrides: {1: [0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2], 2: [7.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0], 3: [3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0], 4: [0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2], 5: [30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0], 6: [30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0], 7: [3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0], 10: [7.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0], 17: [0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]}"
"# Per-cell sample labels: {1: '10%PEG600K', 2: '6.5%PEG600K', 3: '10%PEG300K', 4: '10%PEG600K', 5: '5%PEG300K', 6: '5%PEG300K', 7: '10%PEG300K', 10: '6.5%PEG600K', 17: '10%PEG600K'}"
# Timestamp: 20260730_085622
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
"# Completed cells: [1, 2, 3, 4, 5, 6]"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# WARNING: Experiment was terminated early - these are partial results
# Characterization mode: on

# Cell termination methods: {1: 'hit_detected'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
1,1,10%PEG600K,-65.980,0.3,35.06,19.380,64.600000,False
1,1,10%PEG600K,-65.980,0.4,35.05,25.340,63.350000,False
1,1,10%PEG600K,-65.980,0.5,30.08,30.580,61.160000,False
1,1,10%PEG600K,-65.980,0.6,30.01,35.320,58.866667,False
1,1,10%PEG600K,-65.980,0.7,30.09,40.060,57.228571,False
1,1,10%PEG600K,-65.980,0.8,30.08,44.750,55.937500,False
1,1,10%PEG600K,-65.980,0.9,25.03,49.090,54.544444,False
1,1,10%PEG600K,-65.980,1.0,25.04,53.400,53.400000,False
1,1,10%PEG600K,-65.980,1.1,25.05,57.540,52.309091,False
1,1,10%PEG600K,-65.980,1.2,25.03,61.440,51.200000,False
1,1,10%PEG600K,-66.000,0.3,30.09,20.160,67.200000,False
1,1,10%PEG600K,-66.000,0.4,35.05,25.840,64.600000,False
1,1,10%PEG600K,-66.000,0.5,30.00,31.320,62.640000,False
1,1,10%PEG600K,-66.000,0.6,30.02,36.440,60.733333,False
1,1,10%PEG600K,-66.000,0.7,30.09,41.390,59.128571,False
1,1,10%PEG600K,-66.000,0.8,30.10,46.240,57.800000,False
1,1,10%PEG600K,-66.000,0.9,25.04,50.650,56.277778,False
1,1,10%PEG600K,-66.000,1.0,25.05,55.260,55.260000,False
1,1,10%PEG600K,-66.000,1.1,25.05,59.310,53.918182,False
1,1,10%PEG600K,-66.000,1.2,25.03,63.560,52.966667,False
1,1,10%PEG600K,-66.020,0.3,35.06,20.870,69.566667,False
1,1,10%PEG600K,-66.020,0.4,30.08,26.550,66.375000,False
1,1,10%PEG600K,-66.020,0.5,30.09,32.110,64.220000,False
1,1,10%PEG600K,-66.020,0.6,30.08,37.580,62.633333,False
1,1,10%PEG600K,-66.020,0.7,30.10,42.510,60.728571,False
1,1,10%PEG600K,-66.020,0.8,30.10,47.350,59.187500,False
1,1,10%PEG600K,-66.020,0.9,25.05,52.000,57.777778,False
1,1,10%PEG600K,-66.020,1.0,25.04,56.340,56.340000,False
1,1,10%PEG600K,-66.020,1.1,25.04,60.850,55.318182,False
1,1,10%PEG600K,-66.020,1.2,25.03,64.810,54.008333,False
1,1,10%PEG600K,-66.040,0.3,35.06,21.610,72.033333,False
1,1,10%PEG600K,-66.040,0.4,30.10,27.480,68.700000,False
1,1,10%PEG600K,-66.040,0.5,30.10,33.060,66.120000,False
1,1,10%PEG600K,-66.040,0.6,30.02,38.490,64.150000,False
1,1,10%PEG600K,-66.040,0.7,30.06,43.810,62.585714,False
1,1,10%PEG600K,-66.040,0.8,30.10,48.630,60.787500,False
1,1,10%PEG600K,-66.040,0.9,25.08,53.450,59.388889,False
1,1,10%PEG600K,-66.040,1.0,25.06,57.940,57.940000,False
1,1,10%PEG600K,-66.040,1.1,25.08,62.350,56.681818,False
1,1,10%PEG600K,-66.040,1.2,25.10,66.520,55.433333,False
1,1,10%PEG600K,-66.060,0.3,35.01,22.070,73.566667,False
1,1,10%PEG600K,-66.060,0.4,35.01,28.220,70.550000,False
1,1,10%PEG600K,-66.060,0.5,30.05,34.070,68.140000,False
