# Dynamic Analysis - Mode: RECALIBRATION (PARTIAL RESULTS)
# Experiment Name: 1kcP_silicone
# Test RPMs (global fallback): [1.0]
# Per-cell RPM overrides: {1: [43.0]}
# Timestamp: 20260915_160111
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
"# Completed cells: [5, 10, 11, 14]"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# WARNING: Experiment was terminated early - these are partial results
# Characterization mode: off

"# Cell termination methods: {5: 'manual_terminate', 10: 'hit_detected', 11: 'hit_detected', 14: 'user_stop'}"
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
1,5,,-65.200,1.0,3.01,0.040,0.040000,False
1,5,,-65.220,1.0,3.01,0.010,0.010000,False
1,5,,-65.300,1.0,3.01,0.020,0.020000,False
1,5,,-65.320,1.0,3.00,0.070,0.070000,False
1,5,,-65.340,1.0,3.01,0.090,0.090000,False
1,5,,-65.360,1.0,3.01,0.070,0.070000,False
1,5,,-65.380,1.0,3.01,0.000,0.000000,False
1,5,,-65.440,1.0,3.01,0.000,0.000000,False
1,5,,-65.460,1.0,3.02,0.040,0.040000,False
1,5,,-65.480,1.0,3.01,0.090,0.090000,False
1,5,,-65.500,1.0,3.01,0.060,0.060000,False
1,5,,-65.520,1.0,3.01,0.040,0.040000,False
1,5,,-65.540,1.0,3.01,0.010,0.010000,False
1,5,,-65.580,1.0,3.01,0.000,0.000000,False
1,5,,-65.600,1.0,3.01,0.010,0.010000,False
1,5,,-65.620,1.0,3.01,0.150,0.150000,False
1,5,,-65.640,1.0,3.01,0.110,0.110000,False
1,5,,-65.660,1.0,3.01,0.080,0.080000,False
1,5,,-65.680,1.0,3.01,0.070,0.070000,False
1,5,,-65.700,1.0,3.01,0.020,0.020000,False
1,5,,-65.720,1.0,3.01,0.040,0.040000,False
1,5,,-65.740,1.0,3.01,0.030,0.030000,False
1,5,,-65.760,1.0,3.01,0.060,0.060000,False
1,5,,-65.780,1.0,3.01,0.100,0.100000,False
1,5,,-65.800,1.0,3.02,0.110,0.110000,False
1,5,,-65.820,1.0,3.01,0.140,0.140000,False
1,5,,-65.840,1.0,3.01,0.180,0.180000,False
1,5,,-65.860,1.0,3.01,2.020,2.020000,True
1,5,,-65.880,1.0,3.01,2.160,2.160000,True
1,5,,-65.900,1.0,3.01,2.300,2.300000,False
1,5,,-65.920,1.0,3.01,3.600,3.600000,True
1,5,,-65.940,1.0,3.01,4.700,4.700000,False
1,5,,-65.960,1.0,3.01,6.990,6.990000,True
1,5,,-65.980,1.0,3.01,4.670,4.670000,True
2,10,,-65.000,1.0,3.01,0.020,0.020000,False
2,10,,-65.020,1.0,3.01,0.010,0.010000,False
2,10,,-65.040,1.0,3.00,0.030,0.030000,False
2,10,,-65.060,1.0,3.01,0.080,0.080000,False
2,10,,-65.080,1.0,3.00,0.130,0.130000,False
2,10,,-65.100,1.0,3.01,0.160,0.160000,False
2,10,,-65.120,1.0,3.01,0.140,0.140000,False
2,10,,-65.140,1.0,3.01,0.090,0.090000,False
2,10,,-65.160,1.0,3.01,0.020,0.020000,False
2,10,,-65.180,1.0,3.01,0.030,0.030000,False
2,10,,-65.200,1.0,3.01,0.030,0.030000,False
2,10,,-65.220,1.0,3.01,0.110,0.110000,False
2,10,,-65.240,1.0,3.01,0.160,0.160000,False
2,10,,-65.260,1.0,3.01,0.170,0.170000,False
2,10,,-65.280,1.0,3.01,0.130,0.130000,False
2,10,,-65.300,1.0,3.01,0.090,0.090000,False
2,10,,-65.320,1.0,3.01,0.030,0.030000,False
2,10,,-65.340,1.0,3.01,0.020,0.020000,False
