# Dynamic Analysis - Mode: CUSTOM
# Experiment Name: black
# Test RPMs (global fallback): [0.8]
"# Per-cell RPM overrides: {1: [3.0, 5.0, 10.0, 15.0, 17.0, 20.0, 22.0, 25.0, 30.0, 35.0, 40.0]}"
# Timestamp: 20260916_093136
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# Characterization mode: on

# Cell termination methods: {1: 'hit_detected'}
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
1,1,,-65.740,3.0,25.07,13.170,4.390000,False
1,1,,-65.740,5.0,15.04,18.610,3.722000,False
1,1,,-65.740,10.0,15.04,30.230,3.023000,False
1,1,,-65.740,15.0,15.03,39.770,2.651333,False
1,1,,-65.740,17.0,15.04,42.750,2.514706,False
1,1,,-65.740,20.0,15.03,47.440,2.372000,False
1,1,,-65.740,22.0,15.04,50.390,2.290455,False
1,1,,-65.740,25.0,15.03,54.860,2.194400,False
1,1,,-65.740,30.0,15.02,62.100,2.070000,False
1,1,,-65.740,35.0,15.03,68.890,1.968286,False
1,1,,-65.740,40.0,15.02,75.500,1.887500,False
1,1,,-65.760,3.0,20.08,11.740,3.913333,False
1,1,,-65.760,5.0,15.03,17.270,3.454000,False
1,1,,-65.760,10.0,15.03,29.020,2.902000,False
1,1,,-65.760,15.0,15.03,38.930,2.595333,False
1,1,,-65.760,17.0,15.03,42.560,2.503529,False
1,1,,-65.760,20.0,15.03,47.710,2.385500,False
1,1,,-65.760,22.0,15.03,51.020,2.319091,False
1,1,,-65.760,25.0,15.02,55.830,2.233200,False
1,1,,-65.760,30.0,15.03,63.510,2.117000,False
1,1,,-65.760,35.0,15.03,70.680,2.019429,False
1,1,,-65.760,40.0,15.03,77.470,1.936750,False
1,1,,-65.780,3.0,15.03,11.630,3.876667,False
1,1,,-65.780,5.0,15.03,17.410,3.482000,False
1,1,,-65.780,10.0,15.04,29.430,2.943000,False
1,1,,-65.780,15.0,15.02,39.680,2.645333,False
1,1,,-65.780,17.0,15.03,43.350,2.550000,False
1,1,,-65.780,20.0,15.02,48.690,2.434500,False
1,1,,-65.780,22.0,15.02,52.130,2.369545,False
1,1,,-65.780,25.0,15.02,57.110,2.284400,False
1,1,,-65.780,30.0,15.03,64.950,2.165000,False
1,1,,-65.780,35.0,15.02,72.350,2.067143,False
1,1,,-65.780,40.0,15.03,79.310,1.982750,False
1,1,,-65.800,3.0,15.04,11.730,3.910000,False
1,1,,-65.800,5.0,15.03,17.630,3.526000,False
1,1,,-65.800,10.0,15.02,30.010,3.001000,False
1,1,,-65.800,15.0,15.03,40.460,2.697333,False
1,1,,-65.800,17.0,15.03,44.310,2.606471,False
1,1,,-65.800,20.0,15.03,49.800,2.490000,False
1,1,,-65.800,22.0,15.02,53.360,2.425455,False
1,1,,-65.800,25.0,15.01,58.490,2.339600,False
1,1,,-65.800,30.0,15.02,66.560,2.218667,False
1,1,,-65.800,35.0,15.04,74.150,2.118571,False
1,1,,-65.800,40.0,15.03,81.420,2.035500,False
1,1,,-65.820,3.0,25.04,11.940,3.980000,False
1,1,,-65.820,5.0,15.02,17.960,3.592000,False
1,1,,-65.820,10.0,15.03,30.600,3.060000,False
1,1,,-65.820,15.0,15.03,41.370,2.758000,False
1,1,,-65.820,17.0,15.02,45.250,2.661765,False
1,1,,-65.820,20.0,15.03,50.960,2.548000,False
1,1,,-65.820,22.0,15.03,54.610,2.482273,False
1,1,,-65.820,25.0,15.03,59.820,2.392800,False
1,1,,-65.820,30.0,15.03,68.220,2.274000,False
1,1,,-65.820,35.0,15.03,76.080,2.173714,False
1,1,,-65.820,40.0,15.03,83.510,2.087750,False
1,1,,-65.840,3.0,15.03,12.120,4.040000,False
1,1,,-65.840,5.0,15.03,18.320,3.664000,False
1,1,,-65.840,10.0,15.02,31.270,3.127000,False
1,1,,-65.840,15.0,15.03,42.380,2.825333,False
1,1,,-65.840,17.0,15.03,46.410,2.730000,False
1,1,,-65.840,20.0,15.02,52.240,2.612000,False
1,1,,-65.840,22.0,15.03,55.990,2.545000,False
1,1,,-65.840,25.0,15.03,61.460,2.458400,False
1,1,,-65.840,30.0,15.02,70.020,2.334000,False
1,1,,-65.840,35.0,15.03,78.130,2.232286,False
1,1,,-65.840,40.0,15.03,85.780,2.144500,False
1,1,,-65.860,3.0,15.03,12.330,4.110000,False
1,1,,-65.860,5.0,15.03,18.660,3.732000,False
