# Dynamic Analysis - Mode: RECALIBRATION
# Experiment Name: recalibration_20260916_084607
# Test RPMs (global fallback): [1.0]
# Timestamp: 20260916_084607
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Feedback Control: ENABLED
"# Feedback R2 Thresholds: Drag = 0.975, CV = 0.975, Slope = 0.975, Confidence = 0.8"
"# Confidence Weights: 2nd-Deriv(Drag/CV/Slope) = 0.2/0.2/0.2, R2(Drag/CV/Slope) = 0.2/0.2/0.2"
# Characterization mode: off

"# Cell termination methods: {14: 'hit_detected', 18: 'hit_detected'}"
row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Hit_Detected
3,14,,-64.000,1.0,3.01,0.060,0.060000,False
3,14,,-64.020,1.0,3.01,0.150,0.150000,False
3,14,,-64.040,1.0,3.01,0.210,0.210000,False
3,14,,-64.060,1.0,3.01,0.220,0.220000,False
3,14,,-64.080,1.0,3.01,0.150,0.150000,False
3,14,,-64.100,1.0,3.01,0.080,0.080000,False
3,14,,-64.120,1.0,3.02,0.050,0.050000,False
3,14,,-64.140,1.0,3.01,0.080,0.080000,False
3,14,,-64.160,1.0,3.01,0.120,0.120000,False
3,14,,-64.180,1.0,3.01,0.180,0.180000,False
3,14,,-64.200,1.0,3.02,0.240,0.240000,False
3,14,,-64.220,1.0,3.01,0.230,0.230000,False
3,14,,-64.240,1.0,3.01,0.140,0.140000,False
3,14,,-64.260,1.0,3.01,0.100,0.100000,False
3,14,,-64.280,1.0,3.01,0.080,0.080000,False
3,14,,-64.300,1.0,3.01,0.090,0.090000,False
3,14,,-64.320,1.0,3.01,0.150,0.150000,False
3,14,,-64.340,1.0,3.01,0.200,0.200000,False
3,14,,-64.360,1.0,3.01,0.240,0.240000,False
3,14,,-64.380,1.0,3.01,0.210,0.210000,False
3,14,,-64.400,1.0,3.01,0.140,0.140000,False
3,14,,-64.420,1.0,3.01,0.080,0.080000,False
3,14,,-64.440,1.0,3.01,0.100,0.100000,False
3,14,,-64.460,1.0,3.01,0.120,0.120000,False
3,14,,-64.480,1.0,3.02,0.170,0.170000,False
3,14,,-64.500,1.0,3.01,0.250,0.250000,False
3,14,,-64.520,1.0,3.01,0.250,0.250000,False
3,14,,-64.540,1.0,3.01,0.240,0.240000,False
3,14,,-64.560,1.0,3.01,0.170,0.170000,False
3,14,,-64.580,1.0,3.01,0.120,0.120000,False
3,14,,-64.600,1.0,3.01,0.120,0.120000,False
3,14,,-64.620,1.0,3.01,0.150,0.150000,False
3,14,,-64.640,1.0,3.01,0.220,0.220000,False
3,14,,-64.660,1.0,3.01,0.270,0.270000,False
3,14,,-64.680,1.0,3.01,0.270,0.270000,False
3,14,,-64.700,1.0,3.01,0.230,0.230000,False
3,14,,-64.720,1.0,3.01,0.170,0.170000,False
3,14,,-64.740,1.0,3.01,0.150,0.150000,False
3,14,,-64.760,1.0,3.01,0.170,0.170000,False
3,14,,-64.780,1.0,3.01,0.230,0.230000,False
3,14,,-64.800,1.0,3.01,0.300,0.300000,False
3,14,,-64.820,1.0,3.01,0.330,0.330000,False
3,14,,-64.840,1.0,3.01,0.300,0.300000,False
3,14,,-64.860,1.0,3.01,0.320,0.320000,False
3,14,,-64.880,1.0,3.01,0.230,0.230000,False
3,14,,-64.900,1.0,3.01,0.210,0.210000,False
3,14,,-64.920,1.0,3.01,0.260,0.260000,False
3,14,,-64.940,1.0,3.01,0.330,0.330000,False
3,14,,-64.960,1.0,3.01,0.370,0.370000,False
3,14,,-64.980,1.0,3.01,0.460,0.460000,False
3,14,,-65.000,1.0,3.01,0.540,0.540000,False
3,14,,-65.020,1.0,3.01,0.580,0.580000,False
3,14,,-65.040,1.0,3.01,1.630,1.630000,True
3,14,,-65.060,1.0,3.01,2.200,2.200000,True
3,14,,-65.080,1.0,3.01,2.760,2.760000,True
3,18,,-64.000,1.0,3.01,0.110,0.110000,False
3,18,,-64.020,1.0,3.01,0.210,0.210000,False
3,18,,-64.040,1.0,3.01,0.190,0.190000,False
3,18,,-64.060,1.0,3.01,0.110,0.110000,False
3,18,,-64.080,1.0,3.01,0.050,0.050000,False
3,18,,-64.100,1.0,3.00,0.040,0.040000,False
3,18,,-64.120,1.0,3.00,0.050,0.050000,False
3,18,,-64.140,1.0,3.01,0.120,0.120000,False
3,18,,-64.160,1.0,3.01,0.210,0.210000,False
3,18,,-64.180,1.0,3.01,0.220,0.220000,False
3,18,,-64.200,1.0,3.01,0.210,0.210000,False
3,18,,-64.220,1.0,3.01,0.120,0.120000,False
3,18,,-64.240,1.0,3.00,0.090,0.090000,False
3,18,,-64.260,1.0,3.01,0.050,0.050000,False
3,18,,-64.280,1.0,3.00,0.110,0.110000,False
3,18,,-64.300,1.0,3.01,0.150,0.150000,False
3,18,,-64.320,1.0,3.01,0.230,0.230000,False
3,18,,-64.340,1.0,3.01,0.260,0.260000,False
3,18,,-64.360,1.0,3.01,0.230,0.230000,False
3,18,,-64.380,1.0,3.01,0.120,0.120000,False
3,18,,-64.400,1.0,3.01,0.070,0.070000,False
3,18,,-64.420,1.0,3.01,0.070,0.070000,False
3,18,,-64.440,1.0,3.00,0.130,0.130000,False
3,18,,-64.460,1.0,3.01,0.230,0.230000,False
3,18,,-64.480,1.0,3.01,0.280,0.280000,False
3,18,,-64.500,1.0,3.00,0.340,0.340000,False
3,18,,-64.520,1.0,3.01,0.490,0.490000,False
3,18,,-64.540,1.0,3.01,0.240,0.240000,True
3,18,,-64.560,1.0,3.01,0.230,0.230000,False
3,18,,-64.580,1.0,3.01,0.220,0.220000,False
3,18,,-64.600,1.0,3.01,0.370,0.370000,False
3,18,,-64.620,1.0,3.01,0.710,0.710000,False
3,18,,-64.640,1.0,3.01,3.730,3.730000,True
3,18,,-64.660,1.0,3.00,20.130,20.130000,True
3,18,,-64.680,1.0,3.01,39.590,39.590000,True
