time_s,rpm,torque_percent,viscosity_cp
1.05,4.6,41.01,8848.085804347827
2.02,4.6,48.77,10522.339543478263
3.01,4.6,54.88,11840.598608695655
4.0,4.6,59.91,12925.84297826087
5.02,4.6,64.16,13842.79895652174
6.01,4.6,68.7,14822.323695652174
7.02,4.6,74.86,16151.370478260871
8.04,4.6,79.37,17124.422586956523
9.0,4.6,82.14,17722.062130434788
10.02,4.6,84.0,18123.365217391303
11.0,4.6,82.45,17788.945978260872
12.05,4.6,81.44,17571.034086956523
13.04,4.6,82.41,17780.315804347825
14.05,4.6,82.25,17745.795108695653
15.03,4.6,81.61,17607.71232608696
16.04,4.6,81.31,17542.986021739132
17.01,4.6,81.79,17646.548108695657
18.03,4.6,78.87,17016.54541304348
19.01,4.6,80.75,17422.16358695652
20.03,4.6,82.14,17722.062130434788
21.01,4.6,83.8,18080.214347826088
22.02,4.6,84.67,18267.920630434786
23.03,4.6,85.87,18526.825847826087
24.05,4.6,84.08,18140.625565217393
25.04,4.6,81.55,17594.76706521739
26.0,4.6,81.92,17674.596173913043
27.05,4.6,83.18,17946.446652173916
28.03,4.6,81.74,17635.76039130435
29.02,4.6,81.47,17577.506717391305
30.05,4.6,81.02,17480.417260869566
31.0,4.6,78.34,16902.195608695656
32.01,4.6,79.99,17258.1902826087
33.01,4.6,81.35,17551.616195652176
34.0,4.6,82.9,17886.03543478261
35.05,4.6,84.52,18235.55747826087
36.02,4.6,85.97,18548.4012826087
37.05,4.6,84.54,18239.872565217396
38.02,4.6,82.45,17788.945978260872
39.01,4.6,82.91,17888.19297826087
40.01,4.6,82.9,17886.03543478261
41.05,4.6,83.15,17939.974021739134
42.02,4.6,81.91,17672.438630434783
43.0,4.6,81.87,17663.808456521743
44.01,4.6,78.64,16966.92191304348
45.01,4.6,79.84,17225.827130434787
46.01,4.6,81.4,17562.40391304348
47.01,4.6,82.7,17842.88456521739
48.05,4.6,84.84,18304.59886956522
49.05,4.6,86.28,18615.285130434786
50.03,4.6,85.19,18380.11289130435
51.04,4.6,82.92,17890.350521739132
52.02,4.6,82.51,17801.89123913044
53.04,4.6,82.51,17801.89123913044
54.03,4.6,82.83,17870.932630434785
55.01,4.6,82.95,17896.823152173914
56.02,4.6,82.76,17855.82982608696
57.05,4.6,79.85,17227.984673913044
58.02,4.6,79.96,17251.717652173913
59.03,4.6,81.73,17633.60284782609
